
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-05-18 15:18:55 .. ~ 1s
 2026-05-18 15:18:56 .. ~ 517.31ms
 2026-05-18 15:19:20 .. ~ 505.12ms
 2026-05-18 15:19:22 .. ~ 502.17ms
 2026-05-18 15:19:22 .. ~ 515.33ms
 2026-05-18 15:20:46 .. ~ 504.26ms
 2026-05-18 15:20:47 .. ~ 3s
 2026-05-18 15:20:53 .. ~ 504.19ms
 2026-05-18 15:20:53 .. ~ 501.42ms
 2026-05-18 15:20:53 .. ~ 505.14ms
 2026-05-18 15:21:04 .. ~ 1s
 2026-05-18 15:21:04 .. ~ 1s
 2026-05-18 15:21:05 .. ~ 1s
 2026-05-18 15:21:07 .. ~ 510.70ms
 2026-05-18 15:21:07 .. ~ 10s
 2026-05-18 15:21:18 .. ~ 1s
 2026-05-18 15:21:20 .. ~ 513.67ms
 2026-05-18 15:22:26 .. ~ 503.11ms
 2026-05-18 15:22:26 .. ~ 500.05ms
 2026-05-18 15:22:27 .. ~ 507.31ms
 2026-05-18 15:22:27 .. ~ 8s
 2026-05-18 15:22:35 .. ~ 1s
 2026-05-18 15:22:36 .. ~ 506.01ms
 2026-05-18 15:22:37 .. ~ 516.48ms
 2026-05-18 15:22:37 .. ~ 1.03ms
 2026-05-18 15:22:38 .. ~ 506.68ms
 2026-05-18 15:22:39 .. ~ 502.86ms
 2026-05-18 15:22:39 .. ~ 4s
 2026-05-18 15:22:44 .. ~ 1.15ms
 2026-05-18 15:22:44 .. ~ 506.53ms
 2026-05-18 15:22:46 .. ~ 501.76ms
 2026-05-18 15:22:46 .. ~ 511.20ms
 2026-05-18 15:22:47 .. ~ 0.87ms
 2026-05-18 15:22:47 .. ~ 1s
 2026-05-18 15:22:49 .. ~ 0.47ms
 2026-05-18 15:22:49 .. ~ 505.06ms
 2026-05-18 15:22:50 .. ~ 501.95ms
 2026-05-18 15:22:50 .. ~ 503.11ms
 2026-05-18 15:22:51 .. ~ 503.13ms
 2026-05-18 15:22:52 .. ~ 1s
 2026-05-18 15:22:53 .. ~ 513.45ms
 2026-05-18 15:22:54 .. ~ 515.09ms
 2026-05-18 15:23:03 .. ~ 514.56ms
 2026-05-18 15:23:04 .. ~ 0.22ms
 2026-05-18 15:23:05 .. ~ 507.30ms
 2026-05-18 15:23:05 .. ~ 508.47ms
 2026-05-18 15:23:06 .. ~ 501.28ms
 2026-05-18 15:23:07 .. ~ 500.66ms
 2026-05-18 15:23:09 .. ~ 0.43ms
 2026-05-18 15:23:09 .. ~ 512.30ms
 2026-05-18 15:23:10 .. ~ 505.29ms
 2026-05-18 15:23:10 .. ~ 28s
